2022-08-07 21:11:11,329:	 INFO:	:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Transformation log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
2022-08-07 21:11:11,596:	 INFO:	:Obtaining preprocessing object.
2022-08-07 21:11:11,621:	 INFO:	:Target column name : default.payment.next.month
2022-08-07 21:11:11,624:	 INFO:	:Obtaining training and test file path.
2022-08-07 21:11:11,627:	 INFO:	:Loading training and test data as pandas dataframe.
2022-08-07 21:11:11,770:	 INFO:	:Splitting input and target feature from training and testing dataframe.
2022-08-07 21:11:11,773:	 INFO:	:Applying preprocessing object on training dataframe and testing dataframe
2022-08-07 21:11:32,477:	 INFO:	:Saving transformed training and testing array.
2022-08-07 21:11:32,482:	 INFO:	:Saving preprocessing object.
2022-08-07 21:11:32,484:	 INFO:	:Data transformations artifact: DataTransformationArtifact(is_transformed=True, message='Data transformation successfully.', transformed_train_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807211041/transformed_data/train/Train.npz', transformed_test_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807211041/transformed_data/test/Test.npz', preprocessed_object_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807211041/preprocessed/preprocessed.pkl')
2022-08-07 23:04:46,248:	 INFO:	:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Transformation log completed.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 


2022-08-07 23:04:53,562:	 INFO:	:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Transformation log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
2022-08-07 23:04:53,678:	 INFO:	:Obtaining preprocessing object.
2022-08-07 23:04:53,683:	 INFO:	:Target column name : default.payment.next.month
2022-08-07 23:04:53,684:	 INFO:	:Obtaining training and test file path.
2022-08-07 23:04:53,684:	 INFO:	:Loading training and test data as pandas dataframe.
2022-08-07 23:04:53,759:	 INFO:	:Splitting input and target feature from training and testing dataframe.
2022-08-07 23:04:53,764:	 INFO:	:Applying preprocessing object on training dataframe and testing dataframe
2022-08-07 23:05:17,969:	 INFO:	:Saving transformed training and testing array.
2022-08-07 23:05:17,972:	 INFO:	:Saving preprocessing object.
2022-08-07 23:05:17,975:	 INFO:	:Data transformations artifact: DataTransformationArtifact(is_transformed=True, message='Data transformation successfully.', transformed_train_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807230449/transformed_data/train/Train.npz', transformed_test_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807230449/transformed_data/test/Test.npz', preprocessed_object_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807230449/preprocessed/preprocessed.pkl')
2022-08-07 23:21:07,337:	 INFO:	:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Transformation log completed.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 


2022-08-07 23:21:16,810:	 INFO:	:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Transformation log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
2022-08-07 23:21:16,932:	 INFO:	:Obtaining preprocessing object.
2022-08-07 23:21:16,936:	 INFO:	:Target column name : default.payment.next.month
2022-08-07 23:21:16,936:	 INFO:	:Obtaining training and test file path.
2022-08-07 23:21:16,936:	 INFO:	:Loading training and test data as pandas dataframe.
2022-08-07 23:21:17,004:	 INFO:	:Splitting input and target feature from training and testing dataframe.
2022-08-07 23:21:17,008:	 INFO:	:Applying preprocessing object on training dataframe and testing dataframe
2022-08-07 23:21:43,041:	 INFO:	:Saving transformed training and testing array.
2022-08-07 23:21:43,047:	 INFO:	:Saving preprocessing object.
2022-08-07 23:21:43,049:	 INFO:	:Data transformations artifact: DataTransformationArtifact(is_transformed=True, message='Data transformation successfully.', transformed_train_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807232112/transformed_data/train/Train.npz', transformed_test_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807232112/transformed_data/test/Test.npz', preprocessed_object_file_path='/home/pk/Desktop/MachineLearning/project/Credit_card_default/CCdefault/app_artifact/stage02_data_transformation/20220807232112/preprocessed/preprocessed.pkl')
